id;cliente;fecha;periodo;hallazgo;responsable;area;plazo;estado;fecha cumplimiento
94e0ffa202456A;94e0ffa2;2024-10-08;Septiembre;"Se debe tener expuesto la ""Nómina de ART"" a los fines de referenciar cobertura frente a accidentes de trabajos de Los colaboradores involucrados en el sector ";Hernandez / Peralata;f6fc345e;30;Gestión en Curso;2024-11-07
94e0ffa202457A;94e0ffa2;2024-10-08;Septiembre;Identificar capacidad portante de estantería;Hernandez / Peralata;f6fc345e;30;Gestión en Curso;2024-11-07
94e0ffa202458A;94e0ffa2;2024-10-08;Septiembre;En depósito, se debe mejorar condiciones de orden y limpieza;Hernandez / Peralata;f6fc345e;7;INCUMPLIDO;2024-10-15
94e0ffa202459A;94e0ffa2;2024-10-08;Septiembre;Se debe definir y señalizar el punto de reunión en caso de emergencias;Hernandez / Peralata;b52af1f8;30;Gestión en Curso;2024-11-07
94e0ffa202460A;94e0ffa2;2024-05-29;Mayo;"Se debe gestionar incorporación de luces de emergencia.
Considerar que los mismos deben estar colocados en puertas de acceso / salida de emergencia y lugares que atañan riesgos (ej.: escaleras).";Daniel Ruloff / Adrian De Oliveira;b52af1f8;30;CUMPLIDO;2024-06-28
94e0ffa202461A;94e0ffa2;2024-05-29;Mayo;Si bien se cuenta con 2 extintores, en condiciones, se deberá liberar el sector frontal (1 mts.). Considerar que frente a los mismos, NO se deben almacenar objetos.;Francisco Almeida;b52af1f8;30;CUMPLIDO;2024-06-28
94e0ffa202462A;94e0ffa2;2024-05-29;Mayo;"Se debe considerar el almacenamiento de material en estantería siguiendo el criterio de ""mayor peso en parte inferior y menor peso en parte superior"".";Francisco Almeida;b52af1f8;30;INCUMPLIDO;2024-06-28
94e0ffa202463A;94e0ffa2;2024-05-29;Mayo;Se debe gestionar incorporación de escalera para acceso a parte superior de estantería. Se recomienda las escaleras de aluminio tipo tijera. Los mismos proporcionan estabilidad y son fáciles de transportar.;Daniel Ruloff / Adrian De Oliveira;b52af1f8;30;CUMPLIDO;2024-06-28
94e0ffa202464A;94e0ffa2;2024-05-29;Mayo;Se debe gestionar incorporación de botiquín con elementos básicos para actuación frente a posible lesiones (corte con hemorragias, quemadoras y fracturas).;Daniel Ruloff / Adrian De Oliveira;b52af1f8;30;CUMPLIDO;2024-06-28
94e0ffa202465A;94e0ffa2;2024-05-29;Mayo;Se debe incorporar cartelería de actuación ante siniestro otorgado por la ART.;Adrian / Neri;b52af1f8;30;INCUMPLIDO;2024-06-28
94e0ffa202466A;94e0ffa2;2024-05-29;Mayo;Gestionar colocación de cartelería de seguridad (Ergonomía en el trabajo, criterios para manipulación segura de carga, obligación de usar pasamano para ascenso / descenso en escalera, riesgo eléctrico, estacionamiento correcto de vehículos, sanitarios, Kit Ecológico entre otras).;Adrian / Neri;b52af1f8;30;INCUMPLIDO;2024-06-28
94e0ffa202467A;94e0ffa2;2024-05-29;Mayo;"Se debe gestionar colocación de cartel que indique la ""Salida de Emergencia"" en la instalación.";Daniel Ruloff;b52af1f8;30;CUMPLIDO;2024-06-28
94e0ffa202468A;94e0ffa2;2024-05-29;Mayo;"Gestionar planilla de ""Horarios de Trabajos y Descanso"". El mismo debería estar rubricado por Ministerio de Trabajo.";Adrian / Neri;b52af1f8;45;INCUMPLIDO;2024-07-13
94e0ffa202469A;94e0ffa2;2024-05-29;Mayo;En consideración del riesgo ambiental relacionado a derrames de hidrocarburos, se considera oportuno la incorporación de material absorbente para la gestión ante posible derrames. ;Francisco Viera;b52af1f8;30;INCUMPLIDO;2024-06-28
94e0ffa202470A;94e0ffa2;2024-05-29;Mayo;Sería oportuno considerar la incorporación de batea de contención en sector en donde se almacenan los HC (tachos de 20 l).;Daniel Ruloff / Francisco Almeida / Adrian De Oliveira;b52af1f8;90;INCUMPLIDO;2024-08-27
94e0ffa202471A;94e0ffa2;2024-05-29;Mayo;Se debe identificar cajas de inspección para las puesta a tierra de la instalación eléctrica. Considerar que se debiera disponer de la medición de la PAT a los fines de garantizar que la resistividad se encuentre dentro de los parámetros.;Francisco Viera / José Peralta;b52af1f8;60;INCUMPLIDO;2024-07-28
94e0ffa202472A;94e0ffa2;2024-05-29;Mayo;Se debe disponer en local de las FDS de los productos almacenados / comercializados. Esto debe estar en conocimiento y al alcance de los trabajadores.;Francisco Almeida;b52af1f8;30;INCUMPLIDO;2024-06-28
94e0ffa202473A;94e0ffa2;2024-05-29;Mayo;"Se debe tener expuesto en local los ""Números de actuación ante siniestros"", ""Rol de Emergencias""";Almada Neri J.;b52af1f8;30;INCUMPLIDO;2024-06-28
94e0ffa202474A;94e0ffa2;2024-05-29;Mayo;"Se debe tener expuesto la ""Nómina de ART"" a los fines de referenciar cobertura frente a accidentes de trabajos de Los colaboradores involucrados en el sector ";Andrea Datske / Francisco Almeida;b52af1f8;30;INCUMPLIDO;2024-06-28
94e0ffa202475A;94e0ffa2;2024-05-29;Mayo;Identificar capacidad portante de estantería;Francisco Almeida;b52af1f8;30;INCUMPLIDO;2024-06-28
